userId,itemid,rating,timestamp
1,1953,4,1260759191
1,1405,1,1260759203
1,1371,2.5,1260759135
1,1343,2,1260759131
1,1339,3.5,1260759125
1,1293,2,1260759148
1,1287,2,1260759187
1,1263,2,1260759151
1,1172,4,1260759205
1,1129,2,1260759185
1,1061,3,1260759182
1,1029,3,1260759179
1,31,2.5,1260759144
1,2,4,1260759139
2,720,4,835355978
2,661,4,835356141
2,616,3,835355932
2,593,3,835355511
2,592,5,835355395
2,590,5,835355395
2,589,5,835355697
2,588,3,835355441
2,587,3,835355779
2,586,3,835355790
2,585,5,835355817
2,552,3,835355860
2,551,5,835355767
2,550,3,835356109
2,539,3,835355767
2,537,4,835356199
2,527,4,835355731
2,515,4,835355817
2,509,4,835355719
2,508,4,835355860
2,500,4,835355731
2,497,3,835355880
2,485,3,835355918
2,480,4,835355643
2,474,2,835355828
2,468,4,835355790
2,457,3,835355511
2,454,4,835355604
2,410,3,835355532
2,405,2,835356246
2,382,3,835356165
2,377,3,835355710
2,372,3,835356094
2,371,3,835355968
2,370,2,835355932
2,367,3,835355619
2,364,3,835355604
2,357,3,835355749
2,356,3,835355628
2,350,4,835355697
2,349,4,835355441
2,339,3,835355492
2,319,1,835355918
2,317,2,835355551
2,314,4,835356044
2,300,3,835355532
2,296,4,835355395
2,292,3,835355492
2,273,4,835355779
2,272,3,835355767
2,266,5,835355586
2,265,5,835355697
2,261,4,835355681
2,253,4,835355511
2,248,3,835355896
2,235,3,835355664
2,225,3,835355552
2,223,1,835355749
2,222,5,835355840
2,208,3,835355511
2,186,3,835355664
2,185,3,835355511
2,168,3,835355710
2,165,3,835355441
2,161,3,835355493
2,153,4,835355441
2,150,5,835355395
2,144,3,835356016
2,110,4,835355532
2,62,3,835355749
2,52,3,835356031
2,50,4,835355586
2,47,4,835355552
2,39,5,835355604
2,17,5,835355681
2,10,4,835355493
3,2000,4,1298921862
3,1990,3,1298861789
3,1900,4,1298861753
3,1884,4,1298863143
3,1721,4.5,1298923236
3,1580,3.5,1298922089
3,1378,4,1298861658
3,1271,3,1298861605
3,1235,4,1298861628
3,1210,3,1298921795
3,1197,5,1298932770
3,866,3,1298861687
3,778,4,1298863157
3,736,3.5,1298932787
3,595,2,1298923260
3,593,3,1298921840
3,592,3,1298923247
3,588,3,1298922100
3,527,3,1298862528
3,377,2.5,1298923242
3,356,5,1298862167
3,355,2.5,1298861589
3,318,5,1298862121
3,296,4.5,1298862418
3,267,3,1298861761
3,247,3.5,1298861637
3,110,4,1298922049
3,60,3,1298861675
3,4,3,1298862710
4,2000,5,949811602
4,1994,5,949896309
4,1968,5,949811559
4,1967,3,949949538
4,1961,5,949918743
4,1954,5,949810261
4,1953,5,949810261
4,1918,2,949895956
4,1917,4,949810688
4,1858,5,949919738
4,1805,1,949895864
4,1674,5,949896244
4,1663,4,949811559
4,1580,5,949919978
4,1544,3,949811230
4,1396,5,949895772
4,1388,4,949810302
4,1387,5,949810261
4,1380,5,949896377
4,1377,3,949810688
4,1376,3,949918904
4,1374,4,949918787
4,1372,3,949920004
4,1371,4,949810302
4,1356,4,949810582
4,1344,5,949919247
4,1334,5,949982274
4,1332,4,949896275
4,1307,4,949811602
4,1298,4,949918927
4,1291,5,949918743
4,1288,5,949811490
4,1285,4,949811559
4,1282,5,949949396
4,1278,5,949919372
4,1270,5,949811523
4,1265,5,949919591
4,1259,4,949811559
4,1258,5,949918743
4,1257,5,949811602
4,1243,5,949919519
4,1240,5,949896244
4,1230,5,949919372
4,1225,5,949779173
4,1222,5,949918693
4,1220,5,949811523
4,1219,5,949779173
4,1214,5,949810261
4,1213,5,949895708
4,1210,5,949778714
4,1208,5,949779173
4,1206,5,949896159
4,1200,5,949896244
4,1198,5,949779173
4,1197,5,949811490
4,1196,5,949779173
4,1194,5,949919419
4,1136,5,949919372
4,1127,5,949896275
4,1125,5,949919399
4,1097,5,949778771
4,1089,5,949895732
4,1079,5,949811523
4,1073,5,949919372
4,1036,5,949896244
4,1033,5,949949638
4,1032,5,949949538
4,1031,5,949896377
4,1030,5,949896377
4,1028,5,949949638
4,1022,5,949949638
4,1016,4,949919322
4,1011,4,949919454
4,919,5,949949396
4,913,5,949919247
4,910,4,949919306
4,903,5,949919189
4,858,5,949779022
4,616,5,949949444
4,610,4,949982238
4,596,5,949949638
4,594,5,949949538
4,590,3,949810534
4,589,5,949919938
4,588,5,949949486
4,541,5,949779091
4,480,5,949810582
4,464,4,949811315
4,442,4,949920028
4,440,4,949919802
4,435,1,949920135
4,434,4,949810688
4,431,3,949895772
4,410,3,949919883
4,380,3,949810534
4,367,4,949895887
4,364,5,949949538
4,357,5,949919681
4,356,5,949919763
4,349,5,949810582
4,329,3,949810618
4,296,5,949895708
4,289,4,949778802
4,260,5,949779042
4,185,3,949920047
4,173,3,949811346
4,153,4,949811346
4,141,5,949919681
4,112,5,949810582
4,34,5,949919556
4,10,4,949810645
4,3,3,949895907
5,2000,1.5,1163373188
5,1997,3.5,1163374593
5,1968,4,1163374324
5,1961,4,1163373675
5,1923,4.5,1163373726
5,1784,4.5,1163374251
5,1777,4,1163374601
5,1721,4,1163373744
5,1682,4,1163374214
5,1544,3.5,1163374562
5,1485,4.5,1163374608
5,1393,3.5,1163374165
5,1380,5,1163373044
5,1307,4,1163374495
5,1247,4,1163374582
5,1221,2.5,1163374239
5,1193,3,1163374173
5,1035,5,1163373103
5,1022,4,1163373316
5,919,4,1163374286
5,903,3.5,1163373135
5,858,2.5,1163373651
5,788,3.5,1163374993
5,597,5,1163373711
5,595,4,1163374190
5,588,3.5,1163373551
5,586,4,1163374392
5,500,4.5,1163373718
5,440,4,1163374477
5,377,4,1163373610
5,367,4,1163373755
5,364,4,1163373752
5,356,4,1163374152
5,344,3.5,1163373636
5,277,4.5,1163373208
5,231,3.5,1163373762
5,150,4,1163374404
5,141,4,1163374242
5,104,4,1163374639
5,39,4,1163374952
5,3,4,1163374957
6,2000,3,1108134289
6,1909,3,1108134344
6,1876,0.5,1108134334
6,1747,2,1109258194
6,1687,2,1109258281
6,1639,2,1109258179
6,1358,2,1109258181
6,1285,4.5,1108134339
6,1276,4.5,1108134309
6,1259,4.5,1109258196
6,1250,4.5,1108134284
6,1204,5,1108134266
6,903,4,1108134299
6,596,4,1108134269
6,293,5,1108134539
6,173,2,1109258228
6,158,2,1108134263
6,111,4,1109258212
7,1408,1,851869140
7,1405,5,851866978
7,1394,3,851867688
7,1376,3,851869062
7,1375,3,851869140
7,1374,4,851869035
7,1373,2,851869230
7,1372,3,851869102
7,1371,3,851869160
7,1353,3,851866935
7,1307,3,851867401
7,1302,4,851868471
7,1298,3,851868471
7,1291,3,851867320
7,1288,4,851867401
7,1287,4,851868332
7,1278,3,851867436
7,1275,4,851869080
7,1270,3,851867436
7,1242,5,851868289
7,1240,4,851869062
7,1231,4,851868321
7,1225,5,851868246
7,1223,5,851868044
7,1220,4,851867379
7,1210,5,851869034
7,1198,5,851869035
7,1197,3,851867289
7,1196,5,851869034
7,1148,5,851868019
7,1136,4,851867289
7,1129,3,851869103
7,1125,3,851867553
7,1097,3,851868308
7,1080,4,851867289
7,1079,4,851867320
7,1073,3,851866744
7,1036,3,851869102
7,924,4,851868289
7,786,2,851866744
7,780,3,851866703
7,745,5,851868020
7,737,1,851866763
7,736,1,851866704
7,724,2,851866784
7,720,5,851868019
7,708,3,851866744
7,671,4,851866806
7,610,3,851868074
7,595,3,851868044
7,594,4,851868020
7,592,3,851868863
7,590,4,851868186
7,589,3,851869140
7,588,4,851868044
7,551,4,851868019
7,541,4,851869035
7,539,3,851867688
7,534,4,851868246
7,500,3,851867669
7,480,4,851869161
7,380,4,851869291
7,377,3,851869291
7,367,3,851867790
7,364,3,851868020
7,357,3,851867436
7,356,3,851868188
7,355,3,851867941
7,345,3,851867621
7,333,3,851867345
7,329,3,851868524
7,318,5,851868187
7,316,2,851869161
7,272,3,851868188
7,260,5,851869062
7,207,3,851868705
7,198,2,851868704
7,151,4,851868206
7,141,4,851866704
7,112,4,851866720
7,110,5,851868188
7,104,3,851866744
7,40,4,851866901
7,34,4,851867861
7,31,3,851868750
7,21,3,851867289
7,10,3,851869035
7,1,3,851866703
8,1961,5,1154473322
8,1876,3.5,1154389528
8,1777,5,1154400458
8,1754,3,1154400308
8,1704,4,1154473252
8,1674,4,1154389491
8,1625,5,1154389385
8,1617,3.5,1154464990
8,1552,3,1154389408
8,1500,4,1154465235
8,1393,3,1154400324
8,1387,4,1154465285
8,1358,0.5,1154474527
8,1302,3.5,1154400465
8,1291,4,1154464720
8,1270,4,1154464747
8,1265,3,1154465230
8,1259,4,1154464811
8,1258,4,1154465555
8,1225,4,1154465394
8,1219,4,1154465573
8,1210,4,1154464769
8,1198,4,1154464730
8,1197,4,1154464887
8,1196,3.5,1154464841
8,858,5,1154400181
8,805,3.5,1154389432
8,628,4,1154400284
8,593,4.5,1154464833
8,589,4,1154464853
8,543,5,1154389386
8,527,5,1154400170
8,524,2,1154400357
8,520,3.5,1154389356
8,457,4.5,1154400475
8,356,4,1154400390
8,318,5,1154464714
8,296,4,1154465380
8,282,2,1154389420
8,260,3.5,1154464829
8,110,4,1154473268
8,50,5,1154400173
8,47,5,1154464836
8,45,2.5,1154389572
8,32,5,1154465405
9,2001,4,938629341
9,1784,5,938628966
9,1721,3,938629470
9,1704,4,938628966
9,1682,5,938628690
9,1680,4,938629054
9,1584,4,938629341
9,1541,2,938628777
9,1411,3,938628655
9,1358,4,938628450
9,1357,4,938628655
9,1177,3,938629470
9,1059,5,938629250
9,733,2,938628337
9,608,5,938628843
9,593,4,938628843
9,534,5,938628337
9,527,5,938628843
9,515,4,938628577
9,497,4,938628777
9,318,4,938628966
9,47,3,938628897
9,36,5,938629110
9,26,3,938628655
9,17,4,938628337
9,1,4,938629179
10,2000,3,942766472
10,1923,5,942766515
